ICD10,Count
I10,847
I11,847
I25,823
Z95,800
R07,666
I21,591
I48,582
R06,533
Y84,522
E11,491
I20,411
I50,404
E78,353
I44,286
I22,269
R00,189
N18,187
R53,146
J81,136
I45,134
R60,130
J44,124
R55,124
I49,124
I64,113
E00,111
E03,111
R42,111
C00-C97,106
I35,95
K92,76
M54,72
I79,72
Z82,70
I42,62
R10,60
L74,57
L75,57
R61,57
D50-D64,55
I24,50
I47,45
I30,39
J22,37
R11,37
R50,33
I34,32
I46,29
I71,29
I72,29
Q24,29
N17,28
I65,27
I27,26
Z99,23
R05,23
I26,20
J45,19
I41,18
M96,17
Y83,17
Z46,17
Z47,17
Z96,17
E05,15
M05,14
E00-E07,14
R20,14
E65-E68,13
I07,13
E10,12
R18,10
T82,10
G45,10
I80,9
M30-M36,8
J84,7
I05,7
R40,7
R41,7
I95,6
J96,6
R09,6
I43,6
K70,6
K71,6
K75,6
K76,6
K77,6
F45,5
M25,5
R51,5
T84,5
I39,5
T88,4
I08,4
M32,4
M34,3
D68,3
Z72,2
D47,2
M35,2
T83,1
E85,1
I62,1
M31,1
I37,1
I74,1
R57,1
R31,1
