subset,k,classic_f1,vns_f1,best_f1,delta_vs_full_pool
information_retrieval+mlc_greek_bert+ner_el+xlm_r_base+xlm_r_large,5,0.85299,0.854701,0.854701,0.000281
dictionary_baseline+information_retrieval+mlc_greek_bert+ner_el+xlm_r_base+xlm_r_large,6,0.854065,0.854701,0.854701,0.000281
dictionary_baseline+mlc_greek_bert+xlm_r_base+xlm_r_large,4,0.854065,0.854344,0.854344,-7.6e-05
mlc_greek_bert+ner_el+xlm_r_base+xlm_r_large,4,0.854344,0.854065,0.854344,-7.6e-05
dictionary_baseline+mlc_greek_bert+ner_el+xlm_r_base+xlm_r_large,5,0.854344,0.854344,0.854344,-7.6e-05
dictionary_baseline+information_retrieval+mlc_greek_bert+xlm_r_base+xlm_r_large,5,0.853955,0.854228,0.854228,-0.000192
information_retrieval+mlc_greek_bert+xlm_r_base+xlm_r_large,4,0.849038,0.848505,0.849038,-0.005382
dictionary_baseline+information_retrieval+mlc_greek_bert+ner_el+xlm_r_base,5,0.845977,0.845977,0.845977,-0.008443
dictionary_baseline+information_retrieval+mlc_greek_bert+xlm_r_base,4,0.845699,0.845699,0.845699,-0.008721
information_retrieval+mlc_greek_bert+ner_el+xlm_r_base,4,0.845699,0.845699,0.845699,-0.008721
dictionary_baseline+xlm_r_base+xlm_r_large,3,0.84561,0.84561,0.84561,-0.008809
ner_el+xlm_r_base+xlm_r_large,3,0.84561,0.84561,0.84561,-0.008809
dictionary_baseline+information_retrieval+xlm_r_base+xlm_r_large,4,0.84561,0.84561,0.84561,-0.008809
dictionary_baseline+ner_el+xlm_r_base+xlm_r_large,4,0.84561,0.84561,0.84561,-0.008809
information_retrieval+ner_el+xlm_r_base+xlm_r_large,4,0.84561,0.84561,0.84561,-0.008809
dictionary_baseline+information_retrieval+ner_el+xlm_r_base+xlm_r_large,5,0.84561,0.84561,0.84561,-0.008809
dictionary_baseline+mlc_greek_bert+xlm_r_base,3,0.844532,0.844811,0.844811,-0.009609
dictionary_baseline+mlc_greek_bert+ner_el+xlm_r_base,4,0.844532,0.844811,0.844811,-0.009609
mlc_greek_bert+ner_el+xlm_r_base,3,0.844532,0.844532,0.844532,-0.009888
information_retrieval+xlm_r_base+xlm_r_large,3,0.842562,0.842562,0.842562,-0.011858
information_retrieval+mlc_greek_bert+xlm_r_base,3,0.842037,0.842311,0.842311,-0.012109
dictionary_baseline+information_retrieval+mlc_greek_bert+xlm_r_large,4,0.841512,0.841512,0.841512,-0.012908
information_retrieval+mlc_greek_bert+ner_el+xlm_r_large,4,0.841512,0.841338,0.841512,-0.012908
dictionary_baseline+information_retrieval+mlc_greek_bert+ner_el+xlm_r_large,5,0.841338,0.841512,0.841512,-0.012908
dictionary_baseline+mlc_greek_bert+xlm_r_large,3,0.841333,0.840493,0.841333,-0.013087
mlc_greek_bert+ner_el+xlm_r_large,3,0.841333,0.841333,0.841333,-0.013087
dictionary_baseline+mlc_greek_bert+ner_el+xlm_r_large,4,0.841333,0.841333,0.841333,-0.013087
information_retrieval+mlc_greek_bert+xlm_r_large,3,0.839115,0.839115,0.839115,-0.015305
mlc_greek_bert+xlm_r_base+xlm_r_large,3,0.8357,0.835982,0.835982,-0.018438
mlc_greek_bert+xlm_r_base,2,0.816549,0.816549,0.816549,-0.037871
xlm_r_base+xlm_r_large,2,0.808908,0.812863,0.812863,-0.041556
xlm_r_base,1,0.807757,0.807757,0.807757,-0.046663
dictionary_baseline+xlm_r_base,2,0.807757,0.807757,0.807757,-0.046663
information_retrieval+xlm_r_base,2,0.807757,0.807757,0.807757,-0.046663
ner_el+xlm_r_base,2,0.807757,0.807757,0.807757,-0.046663
dictionary_baseline+information_retrieval+xlm_r_base,3,0.807757,0.807757,0.807757,-0.046663
dictionary_baseline+ner_el+xlm_r_base,3,0.807757,0.807757,0.807757,-0.046663
information_retrieval+ner_el+xlm_r_base,3,0.807757,0.807757,0.807757,-0.046663
dictionary_baseline+information_retrieval+ner_el+xlm_r_base,4,0.807757,0.807757,0.807757,-0.046663
mlc_greek_bert+xlm_r_large,2,0.807154,0.807718,0.807718,-0.046702
mlc_greek_bert,1,0.792576,0.792576,0.792576,-0.061844
dictionary_baseline+mlc_greek_bert,2,0.792576,0.792403,0.792576,-0.061844
information_retrieval+mlc_greek_bert,2,0.792576,0.792576,0.792576,-0.061844
mlc_greek_bert+ner_el,2,0.792576,0.792576,0.792576,-0.061844
dictionary_baseline+information_retrieval+mlc_greek_bert,3,0.792576,0.792576,0.792576,-0.061844
dictionary_baseline+mlc_greek_bert+ner_el,3,0.792576,0.792576,0.792576,-0.061844
information_retrieval+mlc_greek_bert+ner_el,3,0.792576,0.792576,0.792576,-0.061844
dictionary_baseline+information_retrieval+mlc_greek_bert+ner_el,4,0.791695,0.792576,0.792576,-0.061844
xlm_r_large,1,0.762061,0.762061,0.762061,-0.092359
dictionary_baseline+xlm_r_large,2,0.762061,0.762061,0.762061,-0.092359
information_retrieval+xlm_r_large,2,0.762061,0.762061,0.762061,-0.092359
ner_el+xlm_r_large,2,0.762061,0.762061,0.762061,-0.092359
dictionary_baseline+information_retrieval+xlm_r_large,3,0.762061,0.761905,0.762061,-0.092359
dictionary_baseline+ner_el+xlm_r_large,3,0.762061,0.762061,0.762061,-0.092359
information_retrieval+ner_el+xlm_r_large,3,0.762061,0.762061,0.762061,-0.092359
dictionary_baseline+information_retrieval+ner_el+xlm_r_large,4,0.762061,0.762061,0.762061,-0.092359
dictionary_baseline,1,0.718441,0.718441,0.718441,-0.135979
dictionary_baseline+information_retrieval,2,0.718441,0.718441,0.718441,-0.135979
dictionary_baseline+ner_el,2,0.718441,0.718441,0.718441,-0.135979
information_retrieval+ner_el,2,0.718441,0.718441,0.718441,-0.135979
dictionary_baseline+information_retrieval+ner_el,3,0.718441,0.718441,0.718441,-0.135979
ner_el,1,0.717553,0.717553,0.717553,-0.136867
information_retrieval,1,0.692106,0.692106,0.692106,-0.162314
