code,count
I10,1207
I11,1207
I25,1167
Z95,1135
R07,946
I21,865
I48,830
Y84,772
R06,763
E11,712
I20,576
I50,575
E78,501
I44,401
I22,389
R00,264
N18,263
R53,203
J81,196
I45,190
R60,187
I49,180
J44,176
R55,175
E03,165
E00,165
I64,164
R42,151
C00-C97,147
I35,134
K92,109
I79,106
M54,105
Z82,100
I42,93
R61,86
L75,86
L74,86
R10,83
D50-D64,79
I24,74
I47,65
J22,57
R11,55
I30,55
R50,50
I34,46
I71,45
I72,45
Q24,44
I46,43
N17,40
I65,39
I27,39
R05,34
Z99,33
I26,29
J45,28
I41,26
Z47,26
Z96,26
Y83,26
Z46,26
M96,26
E05,23
E00-E07,22
R20,21
M05,21
I07,21
E65-E68,19
E10,18
G45,16
R18,16
T82,15
I80,14
R41,13
R40,13
M30-M36,13
I05,13
J84,12
I43,10
I95,10
J96,10
R09,10
K71,10
K75,10
K77,10
K76,10
K70,10
T84,9
I08,8
M25,8
F45,8
R51,8
I39,8
M32,7
T88,7
M34,5
D68,5
D47,4
M35,3
Z72,3
M31,2
T83,2
I74,2
I62,2
R31,1
I37,1
R57,1
E85,1
