code,support,groups_hit,fp_count,precision,recall,f1
C00-C97,29,3,24,0.1111111111111111,0.10344827586206896,0.10714285714285715
D47,1,0,0,0.0,0.0,0.0
D50-D64,16,2,18,0.1,0.125,0.11111111111111112
D68,1,0,0,0.0,0.0,0.0
E00,33,30,43,0.410958904109589,0.9090909090909091,0.5660377358490566
E00-E07,4,0,0,0.0,0.0,0.0
E03,33,30,39,0.43478260869565216,0.9090909090909091,0.5882352941176471
E05,5,0,1,0.0,0.0,0.0
E10,4,0,0,0.0,0.0,0.0
E11,142,142,147,0.4913494809688581,1.0,0.6589327146171694
E65-E68,4,0,0,0.0,0.0,0.0
E78,100,97,168,0.3660377358490566,0.97,0.5315068493150685
E85,0,0,0,0.0,0.0,0.0
F45,2,1,0,1.0,0.5,0.6666666666666666
G45,3,0,0,0.0,0.0,0.0
I05,3,0,0,0.0,0.0,0.0
I07,4,0,0,0.0,0.0,0.0
I08,2,0,0,0.0,0.0,0.0
I10,241,237,172,0.5794621026894865,0.983402489626556,0.7292307692307691
I11,241,237,170,0.5823095823095823,0.983402489626556,0.7314814814814814
I20,115,113,85,0.5707070707070707,0.9826086956521739,0.7220447284345048
I21,199,189,111,0.63,0.949748743718593,0.7575150300601203
I22,78,75,99,0.43103448275862066,0.9615384615384616,0.5952380952380952
I24,15,14,22,0.3888888888888889,0.9333333333333333,0.5490196078431373
I25,284,281,135,0.6754807692307693,0.9894366197183099,0.8028571428571429
I26,6,3,0,1.0,0.5,0.6666666666666666
I27,7,7,6,0.5384615384615384,1.0,0.7000000000000001
I30,11,9,11,0.45,0.8181818181818182,0.5806451612903226
I34,9,5,7,0.4166666666666667,0.5555555555555556,0.4761904761904762
I35,27,23,30,0.4339622641509434,0.8518518518518519,0.5750000000000001
I37,0,0,0,0.0,0.0,0.0
I39,2,0,0,0.0,0.0,0.0
I41,5,4,0,1.0,0.8,0.888888888888889
I42,18,15,19,0.4411764705882353,0.8333333333333334,0.576923076923077
I43,2,2,0,1.0,1.0,1.0
I44,79,62,122,0.33695652173913043,0.7848101265822784,0.4714828897338403
I45,38,37,28,0.5692307692307692,0.9736842105263158,0.7184466019417477
I46,8,0,5,0.0,0.0,0.0
I47,13,8,21,0.27586206896551724,0.6153846153846154,0.380952380952381
I48,165,161,105,0.6052631578947368,0.9757575757575757,0.7470997679814385
I49,36,14,47,0.22950819672131148,0.3888888888888889,0.28865979381443296
