code,support,total_fn_sum,rescuers_fn0,fn_xlm_r_large,fn_mlc_greek_bert,fn_information_retrieval,fn_ner_el,recall_xlm_r_large,recall_mlc_greek_bert,recall_information_retrieval,recall_ner_el
I10,241,255,none,16,13,113,113,0.9336099585062241,0.946058091286307,0.5311203319502075,0.5311203319502075
I11,241,255,none,16,13,113,113,0.9336099585062241,0.946058091286307,0.5311203319502075,0.5311203319502075
I48,165,131,none,19,38,37,37,0.8848484848484849,0.7696969696969697,0.7757575757575758,0.7757575757575758
I21,199,119,none,33,35,24,27,0.8341708542713567,0.8241206030150754,0.8793969849246231,0.864321608040201
I44,79,118,none,34,28,28,28,0.569620253164557,0.6455696202531646,0.6455696202531646,0.6455696202531646
I25,284,113,none,17,43,13,40,0.9401408450704225,0.8485915492957746,0.954225352112676,0.8591549295774648
E11,142,105,none,6,10,46,43,0.9577464788732394,0.9295774647887324,0.676056338028169,0.6971830985915493
I49,36,98,none,33,34,16,15,0.08333333333333333,0.05555555555555555,0.5555555555555556,0.5833333333333334
Z95,238,90,none,33,41,4,12,0.8613445378151261,0.8277310924369747,0.9831932773109243,0.9495798319327731
N18,52,80,none,12,16,26,26,0.7692307692307693,0.6923076923076923,0.5,0.5
C00-C97,29,77,none,29,10,9,29,0.0,0.6551724137931034,0.6896551724137931,0.0
Y84,162,66,none,18,33,1,14,0.8888888888888888,0.7962962962962963,0.9938271604938271,0.9135802469135802
I50,114,65,none,19,26,9,11,0.8333333333333334,0.7719298245614035,0.9210526315789473,0.9035087719298246
E78,100,65,none,14,13,19,19,0.86,0.87,0.81,0.81
J44,35,62,none,9,2,25,26,0.7428571428571429,0.9428571428571428,0.2857142857142857,0.2571428571428571
J81,39,61,none,16,21,12,12,0.5897435897435898,0.46153846153846156,0.6923076923076923,0.6923076923076923
K92,22,60,none,21,9,15,15,0.045454545454545456,0.5909090909090909,0.3181818181818182,0.3181818181818182
M54,22,57,none,22,13,11,11,0.0,0.4090909090909091,0.5,0.5
R06,152,52,none,15,23,7,7,0.9013157894736842,0.8486842105263158,0.9539473684210527,0.9539473684210527
R07,189,50,none,12,16,11,11,0.9365079365079365,0.9153439153439153,0.9417989417989417,0.9417989417989417
I64,33,50,none,13,5,16,16,0.6060606060606061,0.8484848484848485,0.5151515151515151,0.5151515151515151
I20,115,42,none,10,17,6,9,0.9130434782608695,0.8521739130434782,0.9478260869565217,0.9217391304347826
R53,40,37,none,23,8,3,3,0.425,0.8,0.925,0.925
R42,30,37,none,19,6,6,6,0.36666666666666664,0.8,0.8,0.8
R00,53,35,none,10,21,2,2,0.8113207547169812,0.6037735849056604,0.9622641509433962,0.9622641509433962
D50-D64,16,35,none,16,2,1,16,0.0,0.875,0.9375,0.0
R10,18,31,none,17,6,4,4,0.05555555555555555,0.6666666666666666,0.7777777777777778,0.7777777777777778
E00,33,30,none,22,6,1,1,0.3333333333333333,0.8181818181818182,0.9696969696969697,0.9696969696969697
E03,33,30,none,22,6,1,1,0.3333333333333333,0.8181818181818182,0.9696969696969697,0.9696969696969697
I79,21,30,none,7,8,7,8,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6190476190476191
Z82,20,29,none,15,6,4,4,0.25,0.7,0.8,0.8
I46,8,29,none,8,7,7,7,0.0,0.125,0.125,0.125
I22,78,26,none,5,13,3,5,0.9358974358974359,0.8333333333333334,0.9615384615384616,0.9358974358974359
I35,27,26,none,7,15,1,3,0.7407407407407407,0.4444444444444444,0.9629629629629629,0.8888888888888888
R60,37,24,none,18,4,1,1,0.5135135135135135,0.8918918918918919,0.972972972972973,0.972972972972973
I30,11,24,none,3,1,10,10,0.7272727272727273,0.9090909090909091,0.09090909090909091,0.09090909090909091
N17,8,22,none,8,8,3,3,0.0,0.0,0.625,0.625
L74,17,21,none,16,3,1,1,0.058823529411764705,0.8235294117647058,0.9411764705882353,0.9411764705882353
L75,17,21,none,16,3,1,1,0.058823529411764705,0.8235294117647058,0.9411764705882353,0.9411764705882353
R61,17,21,none,16,3,1,1,0.058823529411764705,0.8235294117647058,0.9411764705882353,0.9411764705882353
I65,8,21,none,8,1,6,6,0.0,0.875,0.25,0.25
M96,5,20,none,5,5,5,5,0.0,0.0,0.0,0.0
Y83,5,20,none,5,5,5,5,0.0,0.0,0.0,0.0
Z46,5,20,none,5,5,5,5,0.0,0.0,0.0,0.0
Z47,5,20,none,5,5,5,5,0.0,0.0,0.0,0.0
Z96,5,20,none,5,5,5,5,0.0,0.0,0.0,0.0
I47,13,19,none,7,6,3,3,0.46153846153846156,0.5384615384615384,0.7692307692307693,0.7692307692307693
R11,11,18,none,11,3,2,2,0.0,0.7272727272727273,0.8181818181818182,0.8181818181818182
E05,5,16,none,5,5,3,3,0.0,0.0,0.4,0.4
I34,9,15,none,8,5,1,1,0.1111111111111111,0.4444444444444444,0.8888888888888888,0.8888888888888888
R55,35,14,none,7,3,2,2,0.8,0.9142857142857143,0.9428571428571428,0.9428571428571428
Z99,7,14,IR+NE,7,7,0,0,0.0,0.0,1.0,1.0
R50,10,13,none,9,2,1,1,0.1,0.8,0.9,0.9
E10,4,12,none,4,4,2,2,0.0,0.0,0.5,0.5
M05,4,12,none,4,2,3,3,0.0,0.5,0.25,0.25
I07,4,11,none,3,4,2,2,0.25,0.0,0.5,0.5
J22,11,10,none,2,4,2,2,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.8181818181818182
E00-E07,4,10,none,3,2,1,4,0.25,0.5,0.75,0.0
M30-M36,3,9,IR,3,3,0,3,0.0,0.0,1.0,0.0
T82,3,9,none,3,2,2,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
I45,38,8,none,1,5,1,1,0.9736842105263158,0.868421052631579,0.9736842105263158,0.9736842105263158
I24,15,8,IR,1,5,0,2,0.9333333333333333,0.6666666666666666,1.0,0.8666666666666667
Q24,9,8,none,3,3,1,1,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888
G45,3,8,none,3,3,1,1,0.0,0.0,0.6666666666666666,0.6666666666666666
I05,3,8,none,3,3,1,1,0.0,0.0,0.6666666666666666,0.6666666666666666
R18,3,8,none,3,3,1,1,0.0,0.0,0.6666666666666666,0.6666666666666666
I08,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
I39,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
J84,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K70,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K71,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K75,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K76,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K77,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
T84,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
I42,18,7,IR+NE,3,4,0,0,0.8333333333333334,0.7777777777777778,1.0,1.0
R05,7,7,IR+GB+NE,7,0,0,0,0.0,1.0,1.0,1.0
I26,6,7,none,2,3,1,1,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334
E65-E68,4,7,IR,4,1,0,2,0.0,0.75,1.0,0.5
I41,5,6,none,1,3,1,1,0.8,0.4,0.8,0.8
R20,4,6,IR+NE,4,2,0,0,0.0,0.5,1.0,1.0
R40,3,6,IR+NE,3,3,0,0,0.0,0.0,1.0,1.0
R41,3,6,IR+NE,3,3,0,0,0.0,0.0,1.0,1.0
I27,7,5,XL,0,3,1,1,1.0,0.5714285714285714,0.8571428571428571,0.8571428571428571
J45,5,4,IR+GB+NE,4,0,0,0,0.2,1.0,1.0,1.0
I80,2,4,IR+NE,2,2,0,0,0.0,0.0,1.0,1.0
I95,2,4,IR+NE,2,2,0,0,0.0,0.0,1.0,1.0
M32,1,4,none,1,1,1,1,0.0,0.0,0.0,0.0
T88,1,4,none,1,1,1,1,0.0,0.0,0.0,0.0
J96,2,3,IR+NE,1,2,0,0,0.5,0.0,1.0,1.0
R09,2,3,IR+NE,1,2,0,0,0.5,0.0,1.0,1.0
F45,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
M25,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
R51,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
D47,1,2,IR+NE,1,1,0,0,0.0,0.0,1.0,1.0
D68,1,2,IR+NE,1,1,0,0,0.0,0.0,1.0,1.0
M34,1,2,IR+NE,1,1,0,0,0.0,0.0,1.0,1.0
I71,9,1,IR+NE+XL,0,1,0,0,1.0,0.8888888888888888,1.0,1.0
I72,9,1,IR+NE+XL,0,1,0,0,1.0,0.8888888888888888,1.0,1.0
I43,2,1,IR+NE+XL,0,1,0,0,1.0,0.5,1.0,1.0
