term,codes_pipe_sep
150 70 mmhg,I10
1oυ βαθμου κκα,I44
1oυ βαθμου κολποκοιλιακος αποκλεισμος rο θωρακος,I44
1st a v block,I44
1st degree av block,I44
1ου β. av block,I44
1ου βαθμου,I44
1ου βαθμου κ κ αποκλεισμος,I44
1ου βαθμου κκ αποκλεισμος,I44
1ου βαθμου κκα,I44
1ου βαθμου κολποκοιλιακος αποκλεισμος,I44
1ου κ κα,I44
1ου κκα,I44
2 1 av block,I44
2 1 kka,I44
2 1 κκα,I44
2 1 κολποκοιλιακος αποκλεισμος,I44
2 1 κολποκοιλιακος αποκλεισμος mobitz ii,I44
2 1 κολποκοιλιακου αποκλεισμου,I44
2.1 κκα,I44
24ωρη καταγραφη holter,Z95
2xpci,Z95
2ου βαθμου κκα 2 1,I44
2ου βαθμου κολποκοιλιακος αποκλεισμος,I44
2ου κκα,I44
3ου βαθμου κ κα,I44
3ου κ κα,I44
3ου κκα,I44
5xcabg,Z95
70 στενωση lad,I25
a y,I10
a. fib,I48
a.fib,I48
a.flutter,I48
acs,I20|I21|I22|I24
aee,I64
af,I48
af αγνωστου εναρξεως,I48
af με βραδεια κοιλιακη ανταποκριση,I48
afib,I48
aflutter,I48
aka,I50
aor,I35
aor1,I35
aos,I35
aos με μικρη ar,I35
aov,I35
aov ασβεστωμενη με σοβαρη στενωση,I35
aov επασβεστωμενη με ηπια στενωση,I35
aov με σοβαρη στενωση,I35
aov τριπτυχη επασβεστωμενη με σοβαρου βαθμου στενωση,I35
aovr βιολογικη,Z95
aoρτικη βαλβιδα τριπτυχη επασβεστωμενη με σοβαρη στενωση,I35
ar,I35
ar 1 4,I35
as,I35
as μετριου προς σοβαρου βαθμου,I35
atrial fibrillation,I48
av block,I44
av block 2ου βαθμου mobitz ii,I44
av βιολογικη,Z95
av βιοπροθετικη,Z95
av εντονως επασβεστωμενη με avmax 3.43 m s και ηπια ανεπαρκεια,I35
av με σοβαρη στενωση αυτης av,I35
avr 2 4,I35
ay,I10
aεε,I64
aθηροσκληρωτικη καρδιοπαθεια,I25
aντικατασταση aov με μηχανικη,Z95
aντικατασταση mv μεταλλικη,Z95
aντικατασταση μιτροειδους και αορτικης βαλβιδας,Z95
aπορρυθμιση κα,I50
aπορρυθμιση καρδιακης ανεπαρκειας,I50
aρτηριακη υπερταση,I10
aσταθης στηθαγχη,I20
by pass,Z95
bypass,Z95
bypass χ3,Z95
bιολογικη βαλβιδα,Z95
c a,Y84
ca,Y84
ca αιδοιου,C00-C97
ca κατω χειλους,C00-C97
ca λαρυγγος,C00-C97
ca μαστου,C00-C97
ca νεφρου,C00-C97
ca ουροδοχου,C00-C97
ca παγκρεατος,C00-C97
ca παχεος εντερου,C00-C97
ca πε,C00-C97
ca πενυμονα,C00-C97
ca πνευμονα,C00-C97
ca πνευμονος,C00-C97
ca προστατη,C00-C97
ca σιγμοειδους,C00-C97
ca υπερωας,C00-C97
ca ωοθηκων,C00-C97
cabg,I25|Y84|Z95
cabg x 3,Z95
cabg x2,Z95
cabg x3,Z95
cabg x3 προ 3 ετων,Z95
cabg xxxx,Z95
cabg προ 20ετιας,Z95
cabgx1,Z95
cabgx2,Z95
cabgx3,Z95
cabgx4,Z95
cabgx5,Z95
crt d,Z95
ddd r βηματοδοτη,Z95
dddr,Z95
dddr βηματοδοτη,Z95
dddr βηματοδοτης,Z95
dvt,I80
dvt αρ κατω ακρου,I80
em προ ετους,I25
eμφυτευση dddr,Z95
hashimoto,E00-E07
hfmef,I50
hfmref,I50
hfpef,I50
hfref,I50
hfref lvef 25,I50
holter,Z95
holter 24 ωρου,Z95
holter 24h,Z95
holter 24ωρου,Z95
holter πιεσης 24ωρου,Z95
holter ρυθμου,Z95
holter ρυθμου 24ωρης καταγραφης,Z95
holter ρυθμου 24ωρου,Z95
icd,Z95
iσχαιμικο aee,I64
k a,I50
k m,I48
ka,I50
kka 1ου βαθμου,I44
kka 2 1,I44
km,I48
koλπικη μαρμαρυγη,I48
kαρδιακη ανεπαρκεια,I50
kοιλιακη μαρμαρυγη,I49
kολπικη ταχυκαρδια,I47
kπ,I48
lad διαχυτα αθηρωματικο αγγειο,Z95
lah,I44
lbbb,I44
lima,Z95
lima lad,Z95
lvef 20,I50
maos,I35
met aov,Z95
minoca,I24
mobitz ii,I44
mr,I34
mr 2,I34
mονιμος βηματοδοτης,Z95
n stemi,I21
non hodgkin λεμφωμα,C00-C97
non stemi,I21
nonstemi,I21
nstemi,I21
nstemi pci,I21|I22|Y84|Z95
nstemi εμφραγμα,I21
nstemi εμφραγματος,I21
nstemi εμφραγματος του μυοκαρδιου,I21
nstemi.,I21
nsvt,I47
oem,I21|I25
oem stemi κατωτερου τοιχωματος,I21
ona,N17
onb,N17
oξυ εμφραγμα μυοκαρδιου,I21
oξυ πνευμονικο οιδημα,J81
oξυ στεφανιαιο συνδρομο,I21|I24
oπο,J81
oσς,I21|I24
p. af,I48
pac,I49
pacemaker,Z95
pacs,I49
pad,I79
paf,I48
pci,I25|Y84|Z95
pci lad,Z95
pci lad d1,Z95
pci lad rca,Z95
pci lad x xxxx,Z95
pci lcx,Z95
pci lcx stent x2,Z95
pci pad,Z95
pci rca,Z95
pci x 2,Z95
pci x2,Z95
pci προ 6ετιας,Z95
pci προ δεκαετιας,Z95
pci σε 1 αγγειο,Z95
pci σε lcx,Z95
pci στην lcx,Z95
pci στον lad,Z95
pcix2,Z95
pcix4,Z95
pcι,Z95
ppci,I25|Y84|Z95
ppci στη lad,Z95
ppci στον lad,Z95
ppm vdd r,Z95
ptca,I25|Y84|Z95
pvcs,I49
rbbb,I45
rca,Z95
rpci,Z95
sr κατασπαση st i avl v4 6,I21
stemi,I21
stemi k t,I21|I22
stemi katωτερου τοιχωματος,I21
stemi kt,I22
stemi κ τ,I21
stemi κατω πλαγιου τοιχωματος,I21
stemi κατω τοιχωματος,I21
stemi κατωτερο,I21
stemi κατωτερο οπισθιο,I21
stemi κατωτεροπλαγιου τοιχωματος,I21
stemi κατωτερου,I21
stemi κατωτερου οπισθιου,I21
stemi κατωτερου οπισθιου τοιχωματος και δεξιας κοιλιας,I21
stemi κατωτερου τοιχωματος,I21
stemi κατωτερου τοιχωματος και δεξιας κοιλιας,I21
stemi κωτερου τοιχωματος,I21
stemi πλαγιου τοιχωματος,I21
stemi προσθιο,I21|I22
stemi προσθιοπλαγιο,I21|I25
stemi προσθιου εκτεταμενου,I21
stemi προσθιου πλαγιου,I21
stemi προσθιου τοιχωματος,I21|I22
stemi προσιου τοιχωματος,I21
stent,Z95
stent lad,I25|Z95
stent καρωτιδας,I65
stent καρωτιδων,Z95
stents,Z95
svt,I47
takotsubo,I42
tavi,I35|Y84|Z95
tr,I07
vf,I49
vt,I47
vvi r,Z95
wpw,I49
xaπ,J44
xkm,I48
xna,N18
xna yπο τν,N18
xna υπο tn,N18
xna υπο τ ν,N18
xnn,N18
xxx απο xx xx x λογω οσς,I25
xρ.κμ,I48
xρονια νεφρικη νοσος,N18
yπερλιπιδαιμια,E78
yποθυρεοειδισμος,E03
α βαθμου κ κα,I44
α βαθμου κκ αποκλεισμος,I44
α βαρθμου κ κ αποκλεισμου,I44
α κκα,I44
α υ,I10
α. fib,I48
α.fib,I48
α.υ,I10
αf,I48
αfib,I48
αflutter,I48
αs,I35
αy,I10
αγγειιτιδα churg strauss,M31
αγγειογραφικο ελεγχο,Y84
αγγειοπαθεια κατω ακρων,I79
αγγειοπαλστικων,Z95
αγγειοπλασθεν,Z95
αγγειοπλασθηκε,Z95
αγγειοπλαστη,Z95
αγγειοπλαστηκε,Z95
αγγειοπλαστικ,Z95
αγγειοπλαστικες,Z95
αγγειοπλαστικη,Z95
αγγειοπλαστικη d1,Z95
αγγειοπλαστικη lad,Z95
αγγειοπλαστικη lad και d1,Z95
αγγειοπλαστικη lcx,Z95
αγγειοπλαστικη rca,Z95
αγγειοπλαστικη δεξιας στεφανιαιας,Z95
αγγειοπλαστικη ενος αγγειου lad,Z95
αγγειοπλαστικη λαγονιων,Z95
αγγειοπλαστικη ομ1,Z95
αγγειοπλαστικη περισπωμενου,Z95
αγγειοπλαστικη περισπωμενου κλαδου,Z95
αγγειοπλαστικη προσθιου κατιοντος,Z95
αγγειοπλαστικη σε lad,Z95
αγγειοπλαστικη στεφανιαια,I25|Y84|Z95
αγγειοπλαστικη στην lcx,Z95
αγγειοπλαστικη στην rca,Z95
αγγειοπλαστικη στο μοσχευμα της rca,Z95
αγγειοπλαστικη στο φλεβικο μοσχευμα,Z95
αγγειοπλαστικη στον d1,Z95
αγγειοπλαστικη στον lad,Z95
αγγειοπλαστικη στον rca,Z95
αγγειοπλαστικη στον rca και lcx,Z95
αγγειοπλαστικη στον διαμεσο κλαδο,Z95
αγγειοπλαστικη στον προσθιο κατιοντα,Z95
