code,greek_description
C00-C97,Κακοήθη νεοπλάσματα
D47,Άλλοι όγκοι αβέβαιης ή άγνωστης συμπεριφοράς λεμφικού και αιμοποιητικού ιστού
D50-D64,Αναιμίες
D68,Άλλες διαταραχές πήξης
E00,Συγγενές σύνδρομο ανεπάρκειας ιωδίου
E00-E07,Διαταραχές θυρεοειδούς αδένα
E03,Άλλος υποθυρεοειδισμός
E05,Θυρεοτοξίκωση
E10,Σακχαρώδης διαβήτης τύπου 1
E11,Σακχαρώδης διαβήτης τύπου 2
E65-E68,Παχυσαρκία και άλλη υπερθρεψία
E78,Διαταραχές μεταβολισμού λιποπρωτεϊνών και άλλες λιπιδαιμίες
E85,Αμυλοείδωση
F45,Σωματόμορφες διαταραχές
G45,Παροδικά εγκεφαλικά ισχαιμικά επεισόδια και συναφή σύνδρομα
I05,Ρευματικές παθήσεις μιτροειδούς βαλβίδας
I07,Ρευματικές παθήσεις τριγλώχινας βαλβίδας
I08,Πολλαπλές παθήσεις βαλβίδων
I10,Υπέρταση
I11,Υπερτασική καρδιοπάθεια
I20,Στηθάγχη
I21,Οξύ έμφραγμα μυοκαρδίου
I22,Επανειλημμένο έμφραγμα μυοκαρδίου
I24,Άλλα οξέα ισχαιμικά καρδιακά νοσήματα
I25,Χρόνια ισχαιμική καρδιοπάθεια
I26,Πνευμονική εμβολή
I27,Άλλα νοσήματα πνευμονικής κυκλοφορίας
I30,Οξεία περικαρδίτιδα
I34,Μη ρευματικές παθήσεις μιτροειδούς βαλβίδας
I35,Μη ρευματικές παθήσεις αορτικής βαλβίδας
I37,Παθήσεις πνευμονικής βαλβίδας
I39,Παθήσεις ενδοκαρδίου σε νόσους ταξινομούμενες αλλού
I41,Μυοκαρδίτιδα σε νόσους ταξινομούμενες αλλού
I42,Καρδιομυοπάθεια
I43,Καρδιομυοπάθεια σε νόσους ταξινομούμενες αλλού
I44,Κολποκοιλιακός και αριστερός σκελικός αποκλεισμός
I45,Άλλες διαταραχές αγωγής
I46,Καρδιακή ανακοπή
I47,Παροξυσμική ταχυκαρδία
I48,Κολπική μαρμαρυγή και πτερυγισμός
I49,Άλλες καρδιακές αρρυθμίες
I50,Καρδιακή ανεπάρκεια
I60,Υπαραχνοειδής αιμορραγία
I62,Άλλη μη τραυματική ενδοκράνια αιμορραγία
I64,Αγγειακό εγκεφαλικό επεισόδιο μη προσδιορισμένο ως αιμορραγία ή έμφρακτο
I65,Απόφραξη και στένωση προεγκεφαλικών αρτηριών
I71,Ανεύρυσμα και διαχωρισμός αορτής
I72,Άλλα ανευρύσματα
I74,Εμβολή και θρόμβωση αρτηριών
I79,Παθήσεις αρτηριών τριχοειδών και φλεβών σε νόσους ταξινομούμενες αλλού
I80,Φλεβίτιδα και θρομβοφλεβίτιδα
I95,Υπόταση
J22,Μη προσδιορισμένη οξεία λοίμωξη κατώτερου αναπνευστικού
J44,Άλλη χρόνια αποφρακτική πνευμονοπάθεια
J45,Άσθμα
J81,Πνευμονικό οίδημα
J84,Άλλα διάμεσα πνευμονικά νοσήματα
J96,Αναπνευστική ανεπάρκεια
K70,Αλκοολική ηπατοπάθεια
K71,Τοξική ηπατοπάθεια
K75,Άλλες φλεγμονώδεις παθήσεις ήπατος
K76,Άλλες παθήσεις ήπατος
K77,Παθήσεις ήπατος σε νόσους ταξινομούμενες αλλού
K92,Άλλες παθήσεις πεπτικού συστήματος
L74,Παθήσεις εκκρινών ιδρωτοποιών αδένων
L75,Παθήσεις αποκρινών ιδρωτοποιών αδένων
M05,Οροθετική ρευματοειδής αρθρίτιδα
M25,Άλλες παθήσεις αρθρώσεων
M30-M36,Συστηματικές παθήσεις συνδετικού ιστού
M31,Άλλες νεκρωτικές αγγειοπάθειες
M32,Συστηματικός ερυθηματώδης λύκος
M34,Συστηματική σκλήρυνση
M35,Άλλες συστηματικές παθήσεις συνδετικού ιστού
M54,Ραχιαλγία
M96,Μετεγχειρητικές παθήσεις μυοσκελετικού συστήματος
N02,Επανερχόμενη αιματουρία
N17,Οξεία νεφρική βλάβη
N18,Χρόνια νεφρική νόσος
N93,Άλλη μη φυσιολογική αιμορραγία της μήτρας και κόλπου
Q24,Άλλες συγγενείς ανωμαλίες καρδιάς
R00,Ανωμαλίες καρδιακού ρυθμού
R04,Αιμορραγία από αναπνευστικές οδούς
R05,Βήχας
R06,Ανωμαλίες αναπνοής
R07,Πόνος στο θώρακα
R09,Άλλα συμπτώματα του κυκλοφορικού και αναπνευστικού
R10,Κοιλιακός και πυελικός πόνος
R11,Ναυτία και έμετος
R18,Ασκίτης
R20,Διαταραχές δερματικής αίσθησης
R23,Άλλες δερματικές αλλοιώσεις
R31,Μη προσδιορισμένη αιματουρία
R40,Υπνηλία κώρος και κώμα
R41,Άλλα συμπτώματα που αφορούν τη γνωσιακή λειτουργία και την επίγνωση
R42,Ζάλη και ιλιγγίαση
R50,Πυρετός αγνώστου αιτιολογίας
R51,Κεφαλαλγία
