code,support,total_fn_sum,rescuers_fn0,fn_xlm_r_large,fn_mlc_greek_bert,fn_information_retrieval,fn_ner_el,recall_xlm_r_large,recall_mlc_greek_bert,recall_information_retrieval,recall_ner_el
I10,241,248,none,16,6,113,113,0.9336099585062241,0.975103734439834,0.5311203319502075,0.5311203319502075
I11,241,248,none,16,6,113,113,0.9336099585062241,0.975103734439834,0.5311203319502075,0.5311203319502075
I48,165,110,none,19,17,37,37,0.8848484848484849,0.896969696969697,0.7757575757575758,0.7757575757575758
I44,79,105,none,34,15,28,28,0.569620253164557,0.810126582278481,0.6455696202531646,0.6455696202531646
I21,199,104,none,33,20,24,27,0.8341708542713567,0.8994974874371859,0.8793969849246231,0.864321608040201
E11,142,99,none,6,4,46,43,0.9577464788732394,0.971830985915493,0.676056338028169,0.6971830985915493
I25,284,94,none,17,24,13,40,0.9401408450704225,0.9154929577464789,0.954225352112676,0.8591549295774648
I49,36,80,none,33,16,16,15,0.08333333333333333,0.5555555555555556,0.5555555555555556,0.5833333333333334
C00-C97,29,75,none,29,8,9,29,0.0,0.7241379310344828,0.6896551724137931,0.0
Z95,238,69,none,33,20,4,12,0.8613445378151261,0.9159663865546218,0.9831932773109243,0.9495798319327731
N18,52,66,none,12,2,26,26,0.7692307692307693,0.9615384615384616,0.5,0.5
J44,35,60,GB,9,0,25,26,0.7428571428571429,1.0,0.2857142857142857,0.2571428571428571
E78,100,59,none,14,7,19,19,0.86,0.93,0.81,0.81
K92,22,58,none,21,7,15,15,0.045454545454545456,0.6818181818181818,0.3181818181818182,0.3181818181818182
I50,114,55,none,19,16,9,11,0.8333333333333334,0.8596491228070176,0.9210526315789473,0.9035087719298246
M54,22,52,none,22,8,11,11,0.0,0.6363636363636364,0.5,0.5
Y84,162,50,none,18,17,1,14,0.8888888888888888,0.8950617283950617,0.9938271604938271,0.9135802469135802
I64,33,47,none,13,2,16,16,0.6060606060606061,0.9393939393939394,0.5151515151515151,0.5151515151515151
J81,39,46,none,16,6,12,12,0.5897435897435898,0.8461538461538461,0.6923076923076923,0.6923076923076923
R07,189,41,none,12,7,11,11,0.9365079365079365,0.9629629629629629,0.9417989417989417,0.9417989417989417
R06,152,35,none,15,6,7,7,0.9013157894736842,0.9605263157894737,0.9539473684210527,0.9539473684210527
D50-D64,16,33,GB,16,0,1,16,0.0,1.0,0.9375,0.0
R53,40,32,none,23,3,3,3,0.425,0.925,0.925,0.925
R42,30,31,GB,19,0,6,6,0.36666666666666664,1.0,0.8,0.8
I20,115,30,none,10,5,6,9,0.9130434782608695,0.9565217391304348,0.9478260869565217,0.9217391304347826
I79,21,30,none,7,8,7,8,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6190476190476191
E00,33,27,none,22,3,1,1,0.3333333333333333,0.9090909090909091,0.9696969696969697,0.9696969696969697
E03,33,27,none,22,3,1,1,0.3333333333333333,0.9090909090909091,0.9696969696969697,0.9696969696969697
R10,18,27,none,17,2,4,4,0.05555555555555555,0.8888888888888888,0.7777777777777778,0.7777777777777778
Z82,20,26,none,15,3,4,4,0.25,0.85,0.8,0.8
R00,53,25,none,10,11,2,2,0.8113207547169812,0.7924528301886793,0.9622641509433962,0.9622641509433962
I30,11,24,none,3,1,10,10,0.7272727272727273,0.9090909090909091,0.09090909090909091,0.09090909090909091
I46,8,24,none,8,2,7,7,0.0,0.75,0.125,0.125
R60,37,21,none,18,1,1,1,0.5135135135135135,0.972972972972973,0.972972972972973,0.972972972972973
I65,8,21,none,8,1,6,6,0.0,0.875,0.25,0.25
I35,27,20,none,7,9,1,3,0.7407407407407407,0.6666666666666666,0.9629629629629629,0.8888888888888888
I22,78,19,none,5,6,3,5,0.9358974358974359,0.9230769230769231,0.9615384615384616,0.9358974358974359
L74,17,19,none,16,1,1,1,0.058823529411764705,0.9411764705882353,0.9411764705882353,0.9411764705882353
L75,17,19,none,16,1,1,1,0.058823529411764705,0.9411764705882353,0.9411764705882353,0.9411764705882353
R61,17,19,none,16,1,1,1,0.058823529411764705,0.9411764705882353,0.9411764705882353,0.9411764705882353
N17,8,19,none,8,5,3,3,0.0,0.375,0.625,0.625
I47,13,17,none,7,4,3,3,0.46153846153846156,0.6923076923076923,0.7692307692307693,0.7692307692307693
M96,5,17,none,5,2,5,5,0.0,0.6,0.0,0.0
Y83,5,17,none,5,2,5,5,0.0,0.6,0.0,0.0
Z46,5,17,none,5,2,5,5,0.0,0.6,0.0,0.0
Z47,5,17,none,5,2,5,5,0.0,0.6,0.0,0.0
Z96,5,17,none,5,2,5,5,0.0,0.6,0.0,0.0
R11,11,16,none,11,1,2,2,0.0,0.9090909090909091,0.8181818181818182,0.8181818181818182
I34,9,15,none,8,5,1,1,0.1111111111111111,0.4444444444444444,0.8888888888888888,0.8888888888888888
R50,10,13,none,9,2,1,1,0.1,0.8,0.9,0.9
E05,5,13,none,5,2,3,3,0.0,0.6,0.4,0.4
R55,35,12,none,7,1,2,2,0.8,0.9714285714285714,0.9428571428571428,0.9428571428571428
Z99,7,11,IR+NE,7,4,0,0,0.0,0.42857142857142855,1.0,1.0
I07,4,11,none,3,4,2,2,0.25,0.0,0.5,0.5
M05,4,11,none,4,1,3,3,0.0,0.75,0.25,0.25
E00-E07,4,9,none,3,1,1,4,0.25,0.75,0.75,0.0
E10,4,9,none,4,1,2,2,0.0,0.75,0.5,0.5
J22,11,8,none,2,2,2,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
Q24,9,8,none,3,3,1,1,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888
I05,3,8,none,3,3,1,1,0.0,0.0,0.6666666666666666,0.6666666666666666
M30-M36,3,8,IR,3,2,0,3,0.0,0.3333333333333333,1.0,0.0
T82,3,8,none,3,1,2,2,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
I08,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
I39,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
J84,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K70,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K71,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K75,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K76,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
K77,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
T84,2,8,none,2,2,2,2,0.0,0.0,0.0,0.0
R05,7,7,IR+GB+NE,7,0,0,0,0.0,1.0,1.0,1.0
R18,3,7,none,3,2,1,1,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
I42,18,6,IR+NE,3,3,0,0,0.8333333333333334,0.8333333333333334,1.0,1.0
I27,7,6,XL,0,4,1,1,1.0,0.42857142857142855,0.8571428571428571,0.8571428571428571
I26,6,6,none,2,2,1,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334
E65-E68,4,6,IR+GB,4,0,0,2,0.0,1.0,1.0,0.5
G45,3,6,none,3,1,1,1,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
R40,3,6,IR+NE,3,3,0,0,0.0,0.0,1.0,1.0
R41,3,6,IR+NE,3,3,0,0,0.0,0.0,1.0,1.0
I45,38,5,none,1,2,1,1,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9736842105263158
I41,5,4,none,1,1,1,1,0.8,0.8,0.8,0.8
J45,5,4,IR+GB+NE,4,0,0,0,0.2,1.0,1.0,1.0
R20,4,4,IR+GB+NE,4,0,0,0,0.0,1.0,1.0,1.0
I95,2,4,IR+NE,2,2,0,0,0.0,0.0,1.0,1.0
M32,1,4,none,1,1,1,1,0.0,0.0,0.0,0.0
I24,15,3,IR+GB,1,0,0,2,0.9333333333333333,1.0,1.0,0.8666666666666667
I80,2,3,IR+NE,2,1,0,0,0.0,0.5,1.0,1.0
J96,2,3,IR+NE,1,2,0,0,0.5,0.0,1.0,1.0
R09,2,3,IR+NE,1,2,0,0,0.5,0.0,1.0,1.0
T88,1,3,GB,1,0,1,1,0.0,1.0,0.0,0.0
F45,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
M25,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
R51,2,2,IR+GB+NE,2,0,0,0,0.0,1.0,1.0,1.0
M34,1,2,IR+NE,1,1,0,0,0.0,0.0,1.0,1.0
I71,9,1,IR+NE+XL,0,1,0,0,1.0,0.8888888888888888,1.0,1.0
I72,9,1,IR+NE+XL,0,1,0,0,1.0,0.8888888888888888,1.0,1.0
I43,2,1,IR+NE+XL,0,1,0,0,1.0,0.5,1.0,1.0
D47,1,1,IR+GB+NE,1,0,0,0,0.0,1.0,1.0,1.0
D68,1,1,IR+GB+NE,1,0,0,0,0.0,1.0,1.0,1.0
